customer_id,customer_name,country,region
1,Mr. John Smith DDS,Brazil,NA
2,Gary Brooks,Canada,EU
3,Bryan Lawrence,Mexico,NA
4,Susan Reeves,USA,NA
5,Crystal Paul,UK,NA
6,Christopher Thomas,Mexico,NA
7,Dan Harmon,Mexico,LATAM
8,Tammy Moore,Canada,LATAM
9,Norma Campbell,France,LATAM
10,Linda Salazar,Germany,NA
11,Joshua Christian,Mexico,EU
12,Michelle Holmes,USA,NA
13,Tiffany Hernandez,UK,LATAM
14,Samantha Perez,Brazil,EU
15,Kimberly Hernandez,UK,EU
16,Alicia Murray,USA,LATAM
17,Eric Schaefer,Canada,NA
18,Phillip Jones,USA,EU
19,Daniel Perry,Germany,EU
20,Amanda Ramirez,Germany,LATAM
21,Connie Patterson MD,Germany,EU
22,Julie Lewis,Mexico,EU
23,Kathryn Gonzalez,Canada,EU
24,Angie Zuniga,France,NA
25,Thomas Taylor,Germany,NA
26,Lisa James,France,LATAM
27,Jessica Alvarado,Brazil,NA
28,Dawn Dixon,Brazil,EU
29,Taylor Moon,France,NA
30,William Myers,USA,EU
31,Jessica Evans,Germany,EU
32,Stacy Warren,Mexico,NA
33,Edgar Oconnor,Brazil,NA
34,Steven Ortiz,UK,NA
35,Justin Sosa,Canada,NA
36,Cassandra Baker,UK,LATAM
37,Dawn Sanchez,France,NA
38,Jennifer Walton,Brazil,LATAM
39,Maria Allen,Brazil,EU
40,Maxwell Thomas,USA,LATAM
41,Thomas Green,USA,EU
42,Steven Gonzalez,Germany,LATAM
43,Mr. Jason Mcclure,France,LATAM
44,Brian Hopkins,Canada,EU
45,Ryan Miller,Germany,LATAM
46,Anthony Ferguson,USA,EU
47,Michelle Chambers,Mexico,NA
48,Paula Nguyen,Canada,EU
49,Sylvia Zavala,Mexico,LATAM
50,Steven Vasquez,Germany,NA
51,Dana Fernandez,USA,LATAM
52,Lori Wilson,Canada,NA
53,Jon Gonzalez,Germany,EU
54,Lisa Salazar,Brazil,NA
55,Jonathan Lynch,Germany,NA
56,Julia Miranda,France,NA
57,Julie Burton,UK,LATAM
58,Alicia Stokes,Brazil,NA
59,Jeremy Davis,Mexico,EU
60,Justin Jones,Brazil,EU
61,Natalie Carpenter,Germany,EU
62,Melanie Carter,Brazil,NA
63,Drew Yang,UK,EU
64,Stacey White,France,LATAM
65,Brenda Perry,Germany,EU
66,Caleb Barber,UK,NA
67,Joseph Bennett,Brazil,EU
68,Patrick Peterson,UK,NA
69,Kristen Zuniga DDS,Brazil,NA
70,Alan Avila,Canada,EU
71,Anne Brown,Brazil,LATAM
72,Thomas Morgan,USA,LATAM
73,Raymond White,UK,EU
74,Julie Perkins,France,NA
75,David Hill,UK,EU
76,Mr. Joshua Nash,Mexico,NA
77,Elizabeth Stone,France,NA
78,Karen Edwards,France,NA
79,Michael Mccoy,Mexico,LATAM
80,Derrick Ferguson,USA,LATAM
81,John May,UK,EU
82,Elaine Jefferson,France,LATAM
83,Amanda Long,UK,NA
84,Mark Jones,France,NA
85,Linda Wise,Mexico,EU
86,Thomas Russell,Mexico,NA
87,Jessica Perez,Brazil,EU
88,Jesse Lopez,Germany,EU
89,Kristin Burton,UK,NA
90,Barbara Garner,UK,LATAM
91,Brian Clark,France,NA
92,Gina Davis,Brazil,NA
93,Ryan Stephens,UK,EU
94,Alexandria Nelson,France,LATAM
95,Mary Bailey,USA,EU
96,Elizabeth Jackson,Mexico,NA
97,Jacob Schmidt,Mexico,EU
98,Tami Rose,Germany,EU
99,Michael Smith,Mexico,NA
100,Alicia Rodriguez,Canada,EU
101,Julie Drake,USA,NA
102,Jason Taylor MD,USA,EU
103,Kimberly Ponce,Brazil,LATAM
104,Robert Barton,Canada,NA
105,Stacey Blake,UK,LATAM
106,Peter Ramos,Germany,EU
107,Leslie Bennett,USA,LATAM
108,Anthony Johnson,Canada,LATAM
109,Kelly Bennett,Canada,LATAM
110,Wayne Allen,France,EU
111,Kathleen Green,USA,NA
112,Sarah Deleon,France,EU
113,Cody Osborne,Brazil,EU
114,Kelsey Brown,Canada,EU
115,Hannah Hernandez,Mexico,NA
116,Jessica Kidd,Canada,EU
